#nucid	Z	A	liso	energy_[keV]	D_energy_[keV]	beta-_%	D_beta-	QB-	QB-_unc	QB-n	QB-n_unc	QB-2n	QB-2n_unc	QB-3n	QB-3n_unc	T1/2_[s]	D_T1/2_[s]	pn1_%	D_pn1	pn2_%	D_pn2	pn3_%	D_pn3	Neueff_unity	lowerEff	upperEff
137Te	52	137	0	0	0	100	0	7052.5	8.6	2170	14	0	0	0	0	2.51	0.05	2.91	0.16	0	0	0	0	0.670679	0.021458818442237	0.020294916233799
138Te	52	138	0	0	0	100	0	6283.9	7.1	2589	9.2	0	0	0	0	1.4	0.4	4.82	0.23	0	0	0	0	0.669529	0.022572819355519	0.020418580133224
139Te	52	139	0	0	0	100	0	8265.9	5.3	3703.5	6.9	8.6	9.1	0	0	1.6	0.3	0	0	0	0	0	0	0.667378	0.026565778294558	0.02083453266564
140Te	52	140	0	0	0	0	0	7030	64	3823	63	0	0	0	0	0.35	0.005	0	0	0	0	0	0	0.666694	0.027150674423896	0.020917365433352
141Te	52	141	0	0	0	0	0	9440	400	5050	400	1840	400	0	0	0	0	0	0	0	0	0	0	0.662258	0.033934159672926	0.021179203519198
142Te	52	142	0	0	0	0	0	8400	630	5490	500	1090	500	0	0	0	0	0	0	0	0	0	0	0.659163	0.035246894948521	0.0223261902373
143Te	52	143	0	0	0	0	0	10350	540	6420	630	3510	500	0	0	0	0	0	0	0	0	0	0	0.654907	0.039630942264651	0.024345656487023
137I	53	137	0	0	0	100	0	6027.1	8.4	2001.6	8.4	0	0	0	0	24.59	0.1	7.65	0.14	0	0	0	0	0.671666	0.021467550372607	0.020229507112147
138I	53	138	0	0	0	100	0	7992.3	6.6	2332.2	6	0	0	0	0	6.251	0.031	5.21	0.28	0	0	0	0	0.669772	0.021329738108697	0.020387022337399
139I	53	139	0	0	0	100	0	7173.6	4.5	3430	4.9	0	0	0	0	2.28	0.011	9.73	0.36	0	0	0	0	0.668202	0.025699712946327	0.020659731980924
140I	53	140	0	0	0	100	0	9380	12	3967	12	223	12	0	0	0.86	0.04	8.4	0.8	0	0	0	0	0.665741	0.027993538471813	0.021042667301768
141I	53	141	0	0	0	100	0	8271	16	4988	16	0	0	0	0	0.43	0.02	21.2	3	0	0	0	0	0.662508	0.033902895467166	0.021106680957877
142I	53	142	0	0	0	0	0	10460	370	5360	370	2070	370	0	0	0.2	0.2	0	0	0	0	0	0	0.659981	0.03423842749492	0.021988349740826
143I	53	143	0	0	0	0	0	9570	200	6530	200	1420	200	0	0	0	0	0	0	0	0	0	0	0.654482	0.04002570000002	0.024488078231899
144I	53	144	0	0	0	0	0	11590	400	6850	400	3810	400	0	0	0	0	0	0	0	0	0	0	0.653333	0.042226404204006	0.02488186472112
145I	53	145	0	0	0	0	0	10550	500	7860	500	3120	500	80	500	0	0	0	0	0	0	0	0	0.648807	0.046817858461533	0.026573290197567
141Xe	54	141	0	0	0	100	0	6280.2	9.6	781.5	8.7	0	0	0	0	1.728	0.013	0.0433	0.0027	0	0	0	0	0.673701	0.020217238551813	0.020311029089165
142Xe	54	142	0	0	0	100	0	5284.9	7.6	1176.6	9.6	0	0	0	0	1.223	0.02	0.36	0.07	0	0	0	0	0.6732	0.020522291319441	0.020213837265596
143Xe	54	143	0	0	0	100	0	7472.6	8.9	2240.4	8.5	0	0	0	0	0.511	0.006	1	0.15	0	0	0	0	0.670283	0.021402124989825	0.020331339702049
144Xe	54	144	0	0	0	100	0	6399	21	2731.9	9.3	0	0	0	0	0.388	0.007	3	0.3	0	0	0	0	0.669486	0.023373837720332	0.020425086285654
145Xe	54	145	0	0	0	100	0	8561	14	3707	23	40	14	0	0	0.188	0.004	5	0.6	0	0	0	0	0.66729	0.026640181656475	0.020844770319915
146Xe	54	146	0	0	0	100	0	7355	24	4028	26	0	0	0	0	0.146	0.006	6.9	1.5	0	0	0	0	0.665441	0.028240594487951	0.021084430464988
147Xe	54	147	0	0	0	0	0	9560	200	4880	200	1550	200	0	0	0.125	0.075	4	4	0	0	0	0	0.662726	0.033145868776793	0.021149764655154
148Xe	54	148	0	0	0	0	0	8310	300	5250	300	570	300	0	0	0	0	0	0	0	0	0	0	0.660733	0.033961775815762	0.021699367008282
141Cs	55	141	0	0	0	100	0	5255.1	9.6	721	12	0	0	0	0	24.75	0.13	0.034	0.002	0	0	0	0	0.673794	0.020222545709984	0.020324166501788
142Cs	55	142	0	0	0	100	0	7327.7	8.4	1146.8	8.8	0	0	0	0	1.687	0.014	0.0916	0.0038	0	0	0	0	0.6732	0.020518748524216	0.020214816348411
143Cs	55	143	0	0	0	100	0	6261.7	9.7	2095.4	9.6	0	0	0	0	1.795	0.009	1.59	0.05	0	0	0	0	0.671067	0.021514895947694	0.020264789232561
144Cs	55	144	0	0	0	100	0	8496	20	2595	21	0	0	0	0	1.002	0.008	3.05	0.11	0	0	0	0	0.669525	0.022643859610554	0.020419181620783
144Cs	55	144	1	0	0	0	0	8496	20	2595	21	0	0	0	0	0.5	0.5	0	0	0	0	0	0	0.669525	0.022643859610554	0.020419181620783
145Cs	55	145	0	0	0	100	0	7462	12	3641	11	0	0	0	0	0.581	0.006	13.5	0.6	0	0	0	0	0.667548	0.02640991079261	0.020808733817164
146Cs	55	146	0	0	0	100	0	9637	21	4134.5	9	314.1	7.7	0	0	0.321	0.002	14.3	0.8	0	0	0	0	0.664782	0.028747845515301	0.021179671781489
147Cs	55	147	0	0	0	100	0	8344	21	4956	22	0	0	0	0	0.2321	0.002	28.5	2	0	0	0	0	0.662556	0.033737071713805	0.021115788804172
148Cs	55	148	0	0	0	100	0	10683	64	5282	24	1894	25	0	0	0.151	0.001	29	5	0	0	0	0	0.660481	0.03396548549962	0.02179374362575
149Cs	55	149	0	0	0	100	0	9870	590	6270	410	870	400	0	0	0.112	0.003	25	4	0	0	0	0	0.655422	0.039057396319719	0.024129409322974
150Cs	55	150	0	0	0	100	0	11730	500	6880	590	3280	400	0	0	0.081	0.003	20	10	0	0	0	0	0.653222	0.042519217292368	0.024920575999676
151Cs	55	151	0	0	0	100	0	10710	640	7600	580	2750	660	0	0	0.069	0.026	0	0	0	0	0	0	0.650423	0.047863968776483	0.025983495435297
152Cs	55	152	0	0	0	100	0	12780	640	7940	640	4830	580	-20	660	0	0	0	0	0	0	0	0	0.648281	0.046290706178075	0.026766275973039
147Ba	56	147	0	0	0	100	0	6414	22	715	39	0	0	0	0	0.892	0.009	0.066	0.045	0	0	0	0	0.673803	0.0202230819493	0.020322260467972
148Ba	56	148	0	0	0	100	0	5115	60	1013	64	0	0	0	0	0.62	0.022	0.39	0.33	0	0	0	0	0.67334	0.020369400581264	0.020200383066665
149Ba	56	149	0	0	0	100	0	7100	480	1520	440	0	0	0	0	0.352	0.006	2.2	1.7	0	0	0	0	0.6732	0.020683033143135	0.020204821825495
150Ba	56	150	0	0	0	100	0	6230	530	2250	360	0	0	0	0	0.259	0.005	1	0.5	0	0	0	0	0.670165	0.021385134053882	0.020343457191503
151Ba	56	151	0	0	0	100	0	8370	590	3120	590	0	0	0	0	0.167	0.005	0	0	0	0	0	0	0.669062	0.024887964739199	0.02049396515708
152Ba	56	152	0	0	0	100	0	7580	500	3530	590	0	0	0	0	0.139	0.008	0	0	0	0	0	0	0.667858	0.02607016066977	0.020735665924865
153Ba	56	153	0	0	0	100	0	9590	500	4750	500	700	590	0	0	0.116	0.052	0	0	0	0	0	0	0.662923	0.032471799681202	0.021188934247293
154Ba	56	154	0	0	0	100	0	8710	580	5170	580	330	580	0	0	0.053	0.048	0	0	0	0	0	0	0.661163	0.033954695438365	0.021543382401844
147La	57	147	0	0	0	100	0	5336	14	886	20	0	0	0	0	4.09	0.03	0.043	0.004	0	0	0	0	0.673535	0.02024498657946	0.020233209350039
148La	57	148	0	0	0	100	0	7690	22	1234	21	0	0	0	0	1.34	0.07	0.19	0.05	0	0	0	0	0.6732	0.020529074626003	0.02021211678672
149La	57	149	0	0	0	100	0	6450	200	2110	200	0	0	0	0	1.091	0.034	1.4	0.3	0	0	0	0	0.670964	0.021500033613146	0.020272204033267
150La	57	150	0	0	0	100	0	8720	440	2470	440	0	0	0	0	0.51	0.02	2.7	0.3	0	0	0	0	0.669563	0.021907149492166	0.020413498447647
151La	57	151	0	0	0	100	0	7910	440	3470	440	0	0	0	0	0.463	0.024	0	0	0	0	0	0	0.668034	0.025878902829146	0.020696135838373
152La	57	152	0	0	0	100	0	9690	360	3860	300	0	0	0	0	0.2895	0.0145	0	0	0	0	0	0	0.666306	0.0274896700248	0.020966900130263
153La	57	153	0	0	0	100	0	8850	360	4850	360	0	0	0	0	0.245	0.018	0	0	0	0	0	0	0.66272	0.033167368339379	0.021148572494615
154La	57	154	0	0	0	100	0	10690	360	5310	360	1310	360	0	0	0.161	0.015	0	0	0	0	0	0	0.660141	0.034044074475493	0.021925281979781
155La	57	155	0	0	0	100	0	9850	500	6220	450	840	450	0	0	0.101	0.028	0	0	0	0	0	0	0.655533	0.038907109937389	0.024070268043379
156La	57	156	0	0	0	100	0	11770	500	6660	500	3030	450	0	0	0.084	0.078	0	0	0	0	0	0	0.653955	0.040591855387781	0.024666854923612
153Ce	58	153	0	0	0	100	0	6660	200	780	200	0	0	0	0	0.865	0.025	0	0	0	0	0	0	0.673696	0.020216965310709	0.020308123876282
154Ce	58	154	0	0	0	100	0	5890	230	1280	200	0	0	0	0	0.722	0.014	0	0	0	0	0	0	0.6732	0.020534477957815	0.020210787837192
155Ce	58	155	0	0	0	100	0	7640	300	2250	320	0	0	0	0	0.313	0.007	0	0	0	0	0	0	0.670187	0.021388482168497	0.020341065593329
156Ce	58	156	0	0	0	100	0	6750	360	2520	300	0	0	0	0	0.233	0.009	0	0	0	0	0	0	0.669548	0.022200071798839	0.020415733537485
157Ce	58	157	0	0	0	100	0	8610	500	3570	450	0	0	0	0	0.175	0.041	0	0	0	0	0	0	0.667744	0.026194669850609	0.02076202737168
158Ce	58	158	0	0	0	100	0	7670	500	3810	500	0	0	0	0	0.099	0.093	0	0	0	0	0	0	0.666565	0.027262408354775	0.020933677968826
153Pr	59	153	0	0	0	100	0	5762	12	510	27	0	0	0	0	4.29	0.11	0	0	0	0	0	0	0.673804	0.020221411829405	0.020238938988356
154Pr	59	154	0	0	0	100	0	7720	100	1150	110	0	0	0	0	2.3	0.1	0	0	0	0	0	0	0.6732	0.020519986354771	0.020214472835075
155Pr	59	155	0	0	0	100	0	6868	19	2338	55	0	0	0	0	1.47	0.03	0	0	0	0	0	0	0.6696	0.021309149302588	0.020408031360227
156Pr	59	156	0	0	0	100	0	8910	280	2650	200	0	0	0	0	0.444	0.006	0	0	0	0	0	0	0.669505	0.023071219181537	0.020422200555339
157Pr	59	157	0	0	0	100	0	7920	300	3860	360	0	0	0	0	0.304	0.02	0	0	0	0	0	0	0.666301	0.027495053397673	0.020967662753414
158Pr	59	158	0	0	0	100	0	9730	360	4060	300	0	360	0	0	0.181	0.014	0	0	0	0	0	0	0.665065	0.028529177569683	0.021138321428214
159Pr	59	159	0	0	0	100	0	8720	500	4900	450	0	0	0	0	0.134	0.043	0	0	0	0	0	0	0.662605	0.033562041228485	0.021125961668585
160Pr	59	160	0	0	0	100	0	10610	500	5220	500	1390	450	0	0	0.17	0.14	0	0	0	0	0	0	0.660667	0.033963056346567	0.02172367937068
158Nd	60	158	0	0	0	100	0	5040	200	170	200	0	0	0	0	0.8095	0.0255	0	0	0	0	0	0	0.673234	0.020255646543135	0.020197710411836
159Nd	60	159	0	0	0	100	0	6750	300	1210	300	0	0	0	0	0.4945	0.0295	0	0	0	0	0	0	0.6732	0.020527282942465	0.020212518521946
160Nd	60	160	0	0	0	100	0	5870	360	1350	300	0	0	0	0	0.439	0.037	0	0	0	0	0	0	0.6732	0.0205439441442	0.020208652627031
161Nd	60	161	0	0	0	100	0	7650	500	2340	450	0	0	0	0	0.215	0.076	0	0	0	0	0	0	0.669622	0.021309104265445	0.020405338066192
162Nd	60	162	0	0	0	100	0	6820	500	2610	500	0	0	0	0	0.31	0.2	0	0	0	0	0	0	0.669518	0.022797446635349	0.020420236068459
159Pm	61	159	0	0	0	100	0	5653	12	625	11	0	0	0	0	1.49	0.18	0	0	0	0	0	0	0.673944	0.020232004340213	0.020295126499295
160Pm	61	160	0	0	0	100	0	7230	200	1130	200	0	0	0	0	0.725	0.057	0	0	0	0	0	0	0.6732	0.020517689367958	0.020215119514858
161Pm	61	161	0	0	0	100	0	6440	300	1930	300	0	0	0	0	1.05	0.15	0	0	0	0	0	0	0.671964	0.021364071043844	0.020216973476918
162Pm	61	162	0	0	0	100	0	8160	360	2230	300	0	0	0	0	0.63	0.18	0	0	0	0	0	0	0.670246	0.021396634208782	0.020335140901022
163Pm	61	163	0	0	0	100	0	7470	500	3210	450	0	0	0	0	0.43	0.35	0	0	0	0	0	0	0.668748	0.025166627401255	0.020550469648006
164Pm	61	164	0	0	0	0	0	9230	500	3780	500	0	0	0	0	0	0	0	0	0	0	0	0	0.666695	0.027149344038531	0.020917394118831
163Sm	62	163	0	0	0	100	0	5770	310	-90	300	0	0	0	0	1.25	0.49	0	0	0	0	0	0	0.673098	0.020193900931806	0.020193090646149
164Sm	62	164	0	0	0	100	0	5280	320	310	310	0	0	0	0	1.43	0.24	0	0	0	0	0	0	0.672096	0.020245124324005	0.020193081634421
165Sm	62	165	0	0	0	100	0	6920	420	1500	420	0	0	0	0	0.98	0.21	0	0	0	0	0	0	0.6732	0.020669959288784	0.020205029868822
166Sm	62	166	0	0	0	100	0	6480	540	1920	420	0	0	0	0	0.8	0.63	0	0	0	0	0	0	0.67198	0.021358240408798	0.02021647180791
165Eu	63	165	0	0	0	100	0	5729	65	980	170	0	0	0	0	2.53	0.26	0	0	0	0	0	0	0.673387	0.020331327934793	0.02020246625024
166Eu	63	166	0	0	0	100	0	7320	300	1170	380	0	0	0	0	1.285	0.115	0	0	0	0	0	0	0.6732	0.020522468954782	0.020213795289356
167Eu	63	167	0	0	0	100	0	6800	500	2450	450	0	0	0	0	1.33	0.51	0	0	0	0	0	0	0.669566	0.021854493028217	0.020413052724186
168Eu	63	168	0	0	0	100	0	8620	640	3000	580	0	0	0	0	0.2	0.1	0	0	0	0	0	0	0.669339	0.024647577492097	0.020447996191043
169Gd	64	169	0	0	0	100	0	6180	590	500	590	0	0	0	0	0.75	0.21	0	0	0	0	0	0	0.673677	0.020214053311894	0.02022734610116
170Gd	64	170	0	0	0	100	0	5340	720	880	670	0	0	0	0	0.375	0.175	0	0	0	0	0	0	0.673536	0.020244460599542	0.020233603089079
169Tb	65	169	0	0	0	100	0	5270	420	160	330	0	0	0	0	5.13	0.32	0	0	0	0	0	0	0.673214	0.02023713096801	0.020197030222694
170Tb	65	170	0	0	0	100	0	6940	450	800	500	0	0	0	0	0.96	0.078	0	0	0	0	0	0	0.673664	0.020215245791392	0.020289654393469
171Tb	65	171	0	0	0	100	0	6160	590	1560	540	0	0	0	0	1.235	0.095	0	0	0	0	0	0	0.6732	0.020761352557095	0.020203624452063
172Tb	65	172	0	0	0	100	0	8160	590	2270	590	0	0	0	0	0.76	0.19	0	0	0	0	0	0	0.669962	0.021356662058936	0.020365221881914
174Dy	66	174	0	0	0	0	0	4320	590	-90	590	0	0	0	0	0	0	0	0	0	0	0	0	0.673098	0.020193910711984	0.020193098470606
174Ho	67	174	0	0	0	100	0	6260	420	-110	360	0	0	0	0	3.2	1.1	0	0	0	0	0	0	0.673098	0.020193900931806	0.020193090646149
175Ho	67	175	0	0	0	100	0	5450	570	680	500	0	0	0	0	0	0	0	0	0	0	0	0	0.673851	0.020226009348878	0.020312263615385
176Ho	67	176	0	0	0	0	0	7340	640	1290	640	0	0	0	0	0	0	0	0	0	0	0	0	0.6732	0.020537377072061	0.020210107397043
179Tm	69	179	0	0	0	0	0	4940	540	20	500	0	0	0	0	0	0	0	0	0	0	0	0	0.675417	0.020378482585809	0.020262510394818
180Tm	69	180	0	0	0	100	0	6680	590	550	540	0	0	0	0	0	0	0	0	0	0	0	0	0.67406	0.020240078933641	0.020276766488767
181Tm	69	181	0	0	0	0	0	5920	670	1360	670	0	0	0	0	0	0	0	0	0	0	0	0	0.6732	0.020545962912456	0.020208196851773
185Yb	70	185	0	0	0	0	0	5390	590	-160	590	0	0	0	0	0	0	0	0	0	0	0	0	0.673098	0.020193910711984	0.020193098470606
186Lu	71	186	0	0	0	0	0	6210	400	40	410	0	0	0	0	0	0	0	0	0	0	0	0	0.673332	0.020201791207752	0.02032654936288
187Lu	71	187	0	0	0	0	0	5240	500	770	400	0	0	0	0	0	0	0	0	0	0	0	0	0.673705	0.020217458033158	0.020313641434329
188Lu	71	188	0	0	0	0	0	7090	590	960	590	0	0	0	0	0	0	0	0	0	0	0	0	0.673409	0.020314981716775	0.02020472563914
191Ta	73	191	0	0	0	0	0	4680	300	-180	300	0	0	0	0	0	0	0	0	0	0	0	0	0.673098	0.020193920541678	0.020193114713773
192Ta	73	192	0	0	0	100	0	6590	450	40	400	0	0	0	0	0	0	0	0	0	0	0	0	0.67333	0.020201704383789	0.020326266971827
193Ta	73	193	0	0	0	100	0	5420	450	710	450	0	0	0	0	0	0	0	0	0	0	0	0	0.6738	0.020222902759001	0.020322686756431
194Ta	73	194	0	0	0	0	0	7230	590	920	540	0	0	0	0	0	0	0	0	0	0	0	0	0.673469	0.020276896546683	0.020214978124275
198Re	75	198	0	0	0	0	0	6700	450	100	450	0	0	0	0	0	0	0	0	0	0	0	0	0.673098	0.020193910711984	0.020193106493148
199Re	75	199	0	0	0	0	0	5620	450	910	450	0	0	0	0	0	0	0	0	0	0	0	0	0.673483	0.020269411860242	0.02021818370082
203Os	76	203	0	0	0	0	0	7050	570	1070	500	0	0	0	0	0	0	0	0	0	0	0	0	0.673233	0.020475390840228	0.02020932559637
203Ir	77	203	0	0	0	0	0	4940	450	-70	400	0	0	0	0	0	0	0	0	0	0	0	0	0.673098	0.020193910711984	0.020193102457116
204Ir	77	204	0	0	0	0	0	8230	450	1870	450	0	0	0	0	0	0	0	0	0	0	0	0	0.672106	0.021316305583107	0.020212211079256
205Ir	77	205	0	0	0	0	0	7010	590	3890	540	0	0	0	0	0	0	0	0	0	0	0	0	0.66547	0.028218584971788	0.021080432865812
206Pt	78	206	0	0	0	0	0	4580	420	1070	360	0	0	0	0	0	0	0	0	0	0	0	0	0.673225	0.020485602128385	0.020210894254399
207Pt	78	207	0	0	0	0	0	6270	500	1600	500	0	0	0	0	0	0	0	0	0	0	0	0	0.6732	0.020844759917063	0.02020253974133
208Pt	78	208	0	0	0	0	0	5110	500	1750	500	0	0	0	0	0	0	0	0	0	0	0	0	0.67281	0.021095779731738	0.020199793253645
206Au	79	206	0	0	0	100	0	6730	300	0	300	0	0	0	0	47	15	0	0	0	0	0	0	0.673098	0.020193910711984	0.020193098470606
207Au	79	207	0	0	0	0	0	5680	300	2060	300	0	0	0	0	0	0	0	0	0	0	0	0	0.670948	0.0214978277236	0.020273393816369
208Au	79	208	0	0	0	0	0	7160	300	2320	300	0	0	0	0	0	0	0	0	0	0	0	0	0.669591	0.021445325307696	0.020409355147895
209Au	79	209	0	0	0	100	0	6100	430	2650	400	0	0	0	0	0	0	0	0	0	0	0	0	0.669483	0.023414268375503	0.020425543507092
210Au	79	210	0	0	0	0	0	7690	450	2900	430	0	0	0	0	0	0	0	0	0	0	0	0	0.669406	0.024505670559126	0.020437426196867
209Hg	80	209	0	0	0	100	0	5000	150	40	150	0	0	0	0	6	1	0	0	0	0	0	0	0.67333	0.020201704383789	0.020326266971827
210Hg	80	210	0	0	0	0	0	3880	200	210	200	0	0	0	0	63.7	11.6	2.2	2.2	0	0	0	0	0.673232	0.020208070002888	0.020197353025622
211Hg	80	211	0	0	0	0	0	5450	200	550	200	0	0	0	0	26.4	8.1	6.3	6.3	0	0	0	0	0.674056	0.020239789475743	0.020277385088379
212Hg	80	212	0	0	0	0	0	4310	360	760	300	0	0	0	0	0	0	0	0	0	0	0	0	0.673715	0.020218010191473	0.020319531493184
213Hg	80	213	0	0	0	0	0	5880	300	1150	360	0	0	0	0	0	0	0	0	0	0	0	0	0.6732	0.020521758696564	0.02021400566439
214Hg	80	214	0	0	0	0	0	4710	450	1320	400	0	0	0	0	0	0	0	0	0	0	0	0	0.6732	0.020542845396877	0.02020886580192
215Hg	80	215	0	0	0	0	0	6300	500	1670	450	0	0	0	0	0	0	0	0	0	0	0	0	0.6732	0.02097143094784	0.020201147294151
216Hg	80	216	0	0	0	0	0	5140	500	1880	500	0	0	0	0	0	0	0	0	0	0	0	0	0.671971	0.021361621622829	0.020216729393176
209Tl	81	209	0	0	0	100	0	3969.9	6.2	32.5	6.1	0	0	0	0	129.72	0.42	0	0	0	0	0	0	0.673821	0.020230060949906	0.020286490628911
210Tl	81	210	0	0	0	100	0	5482	12	296	12	0	0	0	0	78	1.8	0.0085	0.0055	0	0	0	0	0.672239	0.020240639189732	0.02018948604618
211Tl	81	211	0	0	0	100	0	4415	42	579	42	0	0	0	0	80	18	2.2	2.2	0	0	0	0	0.674008	0.02023637738474	0.02028455327725
212Tl	81	212	0	0	0	100	0	6000	200	870	200	0	0	0	0	34	13	1.8	1.8	0	0	0	0	0.673541	0.020242546154397	0.020235232141315
213Tl	81	213	0	0	0	100	0	4987	28	1261	27	0	0	0	0	24.4	4.4	7.6	3.4	0	0	0	0	0.6732	0.020535382635831	0.02021059722027
214Tl	81	214	0	0	0	0	0	6650	200	1600	200	0	0	0	0	11	2.4	34	12	0	0	0	0	0.6732	0.020862198254259	0.020202337785514
215Tl	81	215	0	0	0	0	0	5570	300	2020	300	0	0	0	0	9.7	3.8	4.6	4.6	0	0	0	0	0.671153	0.021527201477854	0.020258918911633
216Tl	81	216	0	0	0	0	0	7240	360	2300	300	0	0	0	0	5.9	3.3	5.75	5.75	0	0	0	0	0.669595	0.021374862400083	0.020408766317994
217Tl	81	217	0	0	0	100	0	6070	500	2760	450	0	0	0	0	0	0	0	0	0	0	0	0	0.669445	0.023936154165248	0.020431372255003
219Bi	83	219	0	0	0	0	0	3600	200	-150	200	0	0	0	0	10.6	4.7	0	0	0	0	0	0	0.673098	0.020193910711984	0.020193098470606
220Bi	83	220	0	0	0	0	0	5560	300	70	300	0	0	0	0	9.5	5.7	0	0	0	0	0	0	0.67304	0.02019167844534	0.020196833574598
221Bi	83	221	0	0	0	0	0	4320	300	760	300	0	0	0	0	0	0	0	0	0	0	0	0	0.673713	0.020217899364971	0.020318341707238
222Bi	83	222	0	0	0	0	0	6240	300	880	300	0	0	0	0	0	0	0	0	0	0	0	0	0.673523	0.020250273019792	0.020229248240508
223Bi	83	223	0	0	0	0	0	5060	450	1580	400	0	0	0	0	0	0	0	0	0	0	0	0	0.6732	0.020834157170378	0.020202667571388
224Bi	83	224	0	0	0	0	0	6920	450	1680	450	0	0	0	0	0	0	0	0	0	0	0	0	0.673178	0.020990853572821	0.020200785101466
225At	85	225	0	0	0	0	0	3860	300	-120	300	0	0	0	0	0	0	0	0	0	0	0	0	0.673098	0.020193910711984	0.020193106493148
226At	85	226	0	0	0	0	0	5870	300	10	300	0	0	0	0	0	0	0	0	0	0	0	0	0.675481	0.020289534352096	0.020264920533397
227At	85	227	0	0	0	0	0	4600	300	670	300	0	0	0	0	0	0	0	0	0	0	0	0	0.673859	0.020226508292162	0.020310659213647
228At	85	228	0	0	0	0	0	6440	400	730	400	0	0	0	0	0	0	0	0	0	0	0	0	0.673763	0.020220729243826	0.020330968155799
229At	85	229	0	0	0	0	0	5460	400	1510	400	0	0	0	0	0	0	0	0	0	0	0	0	0.6732	0.020727324598221	0.020204126929912
233Fr	87	233	0	0	0	100	0	4586	21	352	22	0	0	0	0	0.9	0.1	0	0	0	0	0	0	0.6716	0.020264520818416	0.020214798242872
#additional	data	from	WC12																							
125Sn	50	125	0	0	0	100	0	0	0	0	0	0	0	0	0	832896	2592	0	0	0	0	0	0	0.668	0.02	0.02
127Sn	50	127	0	0	0	100	0	0	0	0	0	0	0	0	0	7560	144	0	0	0	0	0	0	0.668	0.02	0.02
128Sn	50	128	0	0	0	100	0	0	0	0	0	0	0	0	0	3544.2	8.4	0	0	0	0	0	0	0.668	0.02	0.02
129Sn	50	129	0	0	0	100	0	0	0	0	0	0	0	0	0	133.8	2.4	0	0	0	0	0	0	0.668	0.02	0.02
130Sn	50	130	0	0	0	100	0	0	0	0	0	0	0	0	0	223.2	4.2	0	0	0	0	0	0	0.668	0.02	0.02
131Sn	50	131	0	0	0	100	0	0	0	0	0	0	0	0	0	56	0.5	0	0	0	0	0	0	0.668	0.02	0.02
132Sn	50	132	0	0	0	100	0	0	0	0	0	0	0	0	0	39.7	0.8	0	0	0	0	0	0	0.668	0.02	0.02
126Sb	51	126	0	0	0	100	0	0	0	0	0	0	0	0	0	1067040	5184	0	0	0	0	0	0	0.668	0.02	0.02
127Sb	51	127	0	0	0	100	0	0	0	0	0	0	0	0	0	332640	4320	0	0	0	0	0	0	0.668	0.02	0.02
128Sb	51	128	0	0	0	100	0	0	0	0	0	0	0	0	0	32580	144	0	0	0	0	0	0	0.668	0.02	0.02
129Sb	51	129	0	0	0	100	0	0	0	0	0	0	0	0	0	15717.6	93.6	0	0	0	0	0	0	0.668	0.02	0.02
130Sb	51	130	0	0	0	100	0	0	0	0	0	0	0	0	0	2370	48	0	0	0	0	0	0	0.668	0.02	0.02
131Sb	51	131	0	0	0	100	0	0	0	0	0	0	0	0	0	1381.8	2.4	0	0	0	0	0	0	0.668	0.02	0.02
132Sb	51	132	0	0	0	100	0	0	0	0	0	0	0	0	0	167.4	4.2	0	0	0	0	0	0	0.668	0.02	0.02
133Sb	51	133	0	0	0	100	0	0	0	0	0	0	0	0	0	140.4	3	0	0	0	0	0	0	0.668	0.02	0.02
127Te	52	127	0	0	0	100	0	0	0	0	0	0	0	0	0	33660	252	0	0	0	0	0	0	0.668	0.02	0.02
129Te	52	129	0	0	0	100	0	0	0	0	0	0	0	0	0	4194	18	0	0	0	0	0	0	0.668	0.02	0.02
131Te	52	131	0	0	0	100	0	0	0	0	0	0	0	0	0	1500	6	0	0	0	0	0	0	0.668	0.02	0.02
132Te	52	132	0	0	0	100	0	0	0	0	0	0	0	0	0	276825.6	1123.2	0	0	0	0	0	0	0.668	0.02	0.02
133Te	52	133	0	0	0	100	0	0	0	0	0	0	0	0	0	750	18	0	0	0	0	0	0	0.668	0.02	0.02
134Te	52	134	0	0	0	100	0	0	0	0	0	0	0	0	0	2508	48	0	0	0	0	0	0	0.668	0.02	0.02
135Te	52	135	0	0	0	100	0	0	0	0	0	0	0	0	0	19	0.2	0	0	0	0	0	0	0.668	0.02	0.02
128I	53	128	0	0	0	100	0	0	0	0	0	0	0	0	0	1499.4	1.2	0	0	0	0	0	0	0.668	0.02	0.02
130I	53	130	0	0	0	100	0	0	0	0	0	0	0	0	0	44496	36	0	0	0	0	0	0	0.668	0.02	0.02
131I	53	131	0	0	0	100	0	0	0	0	0	0	0	0	0	693377.28	51.84	0	0	0	0	0	0	0.668	0.02	0.02
132I	53	132	0	0	0	100	0	0	0	0	0	0	0	0	0	8262	46.8	0	0	0	0	0	0	0.668	0.02	0.02
133I	53	133	0	0	0	100	0	0	0	0	0	0	0	0	0	74988	288	0	0	0	0	0	0	0.668	0.02	0.02
134I	53	134	0	0	0	100	0	0	0	0	0	0	0	0	0	3150	12	0	0	0	0	0	0	0.668	0.02	0.02
135I	53	135	0	0	0	100	0	0	0	0	0	0	0	0	0	23688	108	0	0	0	0	0	0	0.668	0.02	0.02
136I	53	136	0	0	0	100	0	0	0	0	0	0	0	0	0	83.4	1	0	0	0	0	0	0	0.668	0.02	0.02
133Xe	54	133	0	0	0	100	0	0	0	0	0	0	0	0	0	453384	43.2	0	0	0	0	0	0	0.668	0.02	0.02
